symbol,name,crustal_abundance_ppm,price_usd_per_kg,price_provenance,supply_risk,supply_risk_score,toxicity_score,density_g_cm3,melting_point_c,bulk_resistivity_uohm_cm,role,notes
Ag,Silver,0.075,950,estimate,high,7.5,2,10.49,961.8,1.587,metal,"Benchmark Low-E metal. Price is the dominant cost driver of the whole coating; highly volatile, update before any techno-economic claim."
Cu,Copper,60,9.5,estimate,medium,4.5,3,8.96,1084.6,1.678,metal,"Low-cost metal route. Oxidises readily; needs barrier layers."
Al,Aluminium,82300,2.4,estimate,low,2.0,2,2.70,660.3,2.65,"dopant,metal","Abundant. AZO donor; poor visible optics as a Low-E mirror."
Au,Gold,0.004,75000,estimate,high,7.0,1,19.30,1064.2,2.44,metal,"Excellent optics, economically excluded."
Zn,Zinc,70,2.9,estimate,medium,4.5,3,7.14,419.5,5.90,"host,dopant","ZnO host cation. Cheap and abundant."
Sn,Tin,2.3,31,estimate,medium,6.0,3,6.95,231.9,11.5,host,"SnO2 host. Harder and more chemically durable than ZnO."
In,Indium,0.25,250,estimate,very_high,9.5,4,7.31,156.6,8.0,dopant,"ITO benchmark only. Supply risk is the reason the brief rules it out."
Ga,Gallium,19,400,estimate,high,7.5,4,5.91,29.8,14.0,dopant,"GZO donor. Higher solubility than Al but materially more expensive."
Ti,Titanium,5650,10,estimate,low,3.5,1,4.51,1668.0,42.0,"barrier,dopant","Candidate dilute stabiliser and standard sacrificial barrier metal."
Ni,Nickel,84,16,estimate,medium,5.0,4,8.91,1455.0,6.99,barrier,"NiCr barrier alloys are the industrial default."
Cr,Chromium,102,9,estimate,medium,5.5,5,7.19,1907.0,12.5,barrier,"Hexavalent Cr concerns are a processing/waste issue, not a film issue."
Mg,Magnesium,23300,3.0,estimate,low,3.0,1,1.74,650.0,4.39,dopant,"Band-gap widening co-dopant for ZnO."
F,Fluorine,585,2.0,estimate,low,2.5,4,0.0017,-219.6,,dopant,"FTO donor. Introduced as a gas or from a fluorinated precursor."
Si,Silicon,282000,2.5,estimate,low,1.5,1,2.33,1414.0,,"barrier,dielectric","Si3N4 and SiO2 are the standard protective and barrier dielectrics."
O,Oxygen,461000,0.2,estimate,low,1.0,1,0.0014,-218.8,,anion,"Reactive sputtering gas."
Ar,Argon,3.5,1.5,estimate,low,1.5,1,0.0018,-189.3,,process_gas,"Working gas; 0.93% of the atmosphere."
